event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260723_0121,thoothukudi,2026-07-23,1953,2040,8.597505,78.13128,3.6,2.96,5.93,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260723_0122,thoothukudi,2026-07-23,1953,1953,8.75794,78.18364,2.64,2.64,2.64,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260724_0123,thoothukudi,2026-07-24,0744,0744,8.57624,78.11585,3.46,3.46,3.46,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260724_0124,thoothukudi,2026-07-24,0744,0837,8.610845,78.0196,5.98,4.86,9.72,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260724_0125,thoothukudi,2026-07-24,0744,0744,8.61237,77.97205,3.18,3.18,3.18,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260724_0126,thoothukudi,2026-07-24,0744,0837,8.61637,77.954327,4.27,3.24,9.72,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260724_0127,thoothukudi,2026-07-24,0744,0837,8.672645,78.09678,2.89,2.36,4.72,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260724_0128,thoothukudi,2026-07-24,0744,0744,8.80012,78.12872,5.78,5.78,5.78,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260724_0129,thoothukudi,2026-07-24,0837,0837,8.60956,77.98328,2.56,2.56,2.56,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260724_0130,thoothukudi,2026-07-24,0839,0839,8.75892,78.18311,4.78,4.78,4.78,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260724_0131,thoothukudi,2026-07-24,0839,0839,8.81455,77.97631,7.79,7.79,7.79,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260724_0132,thoothukudi,2026-07-24,0839,0839,8.86727,78.15775,2.68,2.68,2.68,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260724_0133,thoothukudi,2026-07-24,2019,2019,8.57257,78.07323,5.43,5.43,5.43,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260724_0134,thoothukudi,2026-07-24,2019,2019,8.67059,77.99273,1.11,1.11,1.11,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260725_0135,thoothukudi,2026-07-25,0726,0820,8.61882,77.95472,3.83,3.56,7.13,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260725_0136,thoothukudi,2026-07-25,0726,0726,8.846798,77.957348,14.62,11.51,57.54,5,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260725_0137,thoothukudi,2026-07-25,0820,0820,8.76865,78.05247,2.81,2.81,2.81,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260725_0138,thoothukudi,2026-07-25,2002,2002,8.77572,78.07705,0.25,0.25,0.25,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260726_0139,thoothukudi,2026-07-26,0803,0803,8.75737,78.183,8.42,8.42,8.42,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260726_0140,thoothukudi,2026-07-26,0845,0845,8.60473,78.06739,4.14,4.14,4.14,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260726_0141,thoothukudi,2026-07-26,0848,0848,8.64032,77.90717,3.33,3.33,3.33,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260726_0142,thoothukudi,2026-07-26,2038,2038,8.86824,78.12153,0.49,0.49,0.49,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260727_0143,thoothukudi,2026-07-27,0741,0741,8.67911,78.048315,11.53,8.57,17.15,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260727_0144,thoothukudi,2026-07-27,0828,0828,8.61868,77.95311,2.5,2.5,2.5,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260727_0145,thoothukudi,2026-07-27,0828,0828,8.72816,78.08289,1.76,1.76,1.76,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260727_0146,thoothukudi,2026-07-27,0828,0828,8.75845,78.18256,5.79,5.79,5.79,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260728_0147,thoothukudi,2026-07-28,0809,0809,8.89275,78.04395,6.34,6.34,6.34,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260729_0148,thoothukudi,2026-07-29,0750,0750,8.879297,78.085383,8.12,5.56,16.67,3,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260729_0149,thoothukudi,2026-07-29,0750,0750,8.88462,78.148475,8.35,7.54,15.08,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260729_0150,thoothukudi,2026-07-29,0845,0845,8.56658,78.06514,3.35,3.35,3.35,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260729_0151,thoothukudi,2026-07-29,0845,0845,8.75689,78.1835,2.79,2.79,2.79,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260729_0152,thoothukudi,2026-07-29,0845,0845,8.78999,78.09714,2.05,2.05,2.05,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260729_0153,thoothukudi,2026-07-29,1940,2025,8.759825,78.18125,4.37,2.89,5.78,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260730_0154,thoothukudi,2026-07-30,0731,0826,8.758975,78.182965,7.56,6.99,13.98,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260730_0155,thoothukudi,2026-07-30,0826,0826,8.61699,77.95514,2.74,2.74,2.74,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260730_0156,thoothukudi,2026-07-30,2008,2008,8.759095,78.181335,2.3,1.54,3.09,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260730_0157,thoothukudi,2026-07-30,2008,2008,8.86788,78.11977,1.36,1.36,1.36,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260731_0158,thoothukudi,2026-07-31,0854,0854,8.75698,78.18044,12.5,12.5,12.5,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260801_0159,thoothukudi,2026-08-01,0750,0750,8.756787,78.183287,8.63,6.75,20.24,3,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260801_0160,thoothukudi,2026-08-01,1930,2025,8.825912,78.087152,8.97,5.53,33.17,6,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260801_0161,thoothukudi,2026-08-01,2025,2025,8.66925,77.99277,0.82,0.82,0.82,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260804_0162,thoothukudi,2026-08-04,0737,0737,8.77262,78.11182,16.78,16.78,16.78,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260807_0163,thoothukudi,2026-08-07,0735,0735,8.57914,77.95925,2.48,2.48,2.48,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260807_0164,thoothukudi,2026-08-07,0735,0735,8.58266,77.97887,6.73,6.73,6.73,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260807_0165,thoothukudi,2026-08-07,0822,0822,8.57461,78.00533,6.19,6.19,6.19,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260807_0166,thoothukudi,2026-08-07,0822,0822,8.759583,78.182353,20.04,14.03,42.08,3,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260809_0167,thoothukudi,2026-08-09,0744,0744,8.84041,78.0078,5.35,5.35,5.35,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260809_0168,thoothukudi,2026-08-09,0744,0744,8.84773,77.97353,3.57,3.57,3.57,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260809_0169,thoothukudi,2026-08-09,0744,0744,8.898385,78.04115,9.0,8.56,17.12,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260810_0170,thoothukudi,2026-08-10,2002,2055,8.616597,77.950813,3.9,3.44,10.32,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260812_0171,thoothukudi,2026-08-12,0828,0828,8.58918,77.91875,48.72,48.72,48.72,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260812_0172,thoothukudi,2026-08-12,2019,2019,8.67153,77.9933,1.2,1.2,1.2,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260813_0173,thoothukudi,2026-08-13,0809,0809,8.53019,78.08766,4.93,4.93,4.93,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260815_0174,thoothukudi,2026-08-15,0828,0828,8.71118,78.09945,2.86,2.86,2.86,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260815_0175,thoothukudi,2026-08-15,2008,2008,8.84948,78.13552,0.4,0.4,0.4,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260817_0176,thoothukudi,2026-08-17,2025,2025,8.67144,77.99295,1.66,1.66,1.66,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260818_0177,thoothukudi,2026-08-18,0816,0816,8.62125,77.95941,3.37,3.37,3.37,1,1,N21,LOW,spatial_temporal_bfs
