event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260627_0064,thoothukudi,OBS_00206,8.85008,77.97428,2026-06-27,843,N20,8.72,h,VIIRS,D
EVT_20260627_0064,thoothukudi,OBS_00207,8.85047,77.97723,2026-06-27,843,N20,5.96,n,VIIRS,D
EVT_20260627_0065,thoothukudi,OBS_00081,8.66945,77.99419,2026-06-27,2025,N21,1.21,n,VIIRS,N
EVT_20260627_0066,thoothukudi,OBS_00082,8.82188,78.05628,2026-06-27,2025,N21,1.94,n,VIIRS,N
EVT_20260627_0066,thoothukudi,OBS_00083,8.82248,78.05259,2026-06-27,2025,N21,1.94,n,VIIRS,N
EVT_20260628_0067,thoothukudi,OBS_00084,8.82998,77.9785,2026-06-28,731,N21,1.58,n,VIIRS,D
EVT_20260628_0068,thoothukudi,OBS_00085,8.85756,78.03976,2026-06-28,731,N21,8.42,n,VIIRS,D
EVT_20260628_0069,thoothukudi,OBS_00086,8.67023,77.99241,2026-06-28,2008,N21,1.05,n,VIIRS,N
EVT_20260629_0070,thoothukudi,OBS_00208,8.75938,78.18442,2026-06-29,805,N20,5.54,n,VIIRS,D
EVT_20260629_0071,thoothukudi,OBS_00209,8.77312,77.9638,2026-06-29,805,N20,1.79,n,VIIRS,D
EVT_20260629_0072,thoothukudi,OBS_00210,8.88808,77.98834,2026-06-29,805,N20,1.14,n,VIIRS,D
EVT_20260629_0073,thoothukudi,OBS_00087,8.79237,78.02587,2026-06-29,854,N21,1.81,n,VIIRS,D
EVT_20260629_0074,thoothukudi,OBS_00088,8.81105,78.07692,2026-06-29,854,N21,6.49,n,VIIRS,D
EVT_20260629_0074,thoothukudi,OBS_00089,8.81163,78.08175,2026-06-29,854,N21,6.49,n,VIIRS,D
EVT_20260629_0075,thoothukudi,OBS_00211,8.67153,77.99429,2026-06-29,2042,N20,1.25,n,VIIRS,N
EVT_20260630_0076,thoothukudi,OBS_00212,8.79416,78.05643,2026-06-30,748,N20,2.9,n,VIIRS,D
EVT_20260630_0077,thoothukudi,OBS_00213,8.86742,78.15733,2026-06-30,748,N20,4.29,n,VIIRS,D
EVT_20260630_0077,thoothukudi,OBS_00214,8.86774,78.15659,2026-06-30,748,N20,1.96,n,VIIRS,D
EVT_20260630_0078,thoothukudi,OBS_00090,8.56587,78.12151,2026-06-30,835,N21,4.09,n,VIIRS,D
EVT_20260630_0079,thoothukudi,OBS_00091,8.70381,78.10857,2026-06-30,835,N21,3.42,n,VIIRS,D
EVT_20260701_0080,thoothukudi,OBS_00215,8.74463,78.16101,2026-07-01,731,N20,14.24,n,VIIRS,D
EVT_20260701_0080,thoothukudi,OBS_00216,8.74495,78.16177,2026-07-01,731,N20,18.01,n,VIIRS,D
EVT_20260701_0080,thoothukudi,OBS_00217,8.74538,78.16512,2026-07-01,731,N20,14.24,h,VIIRS,D
EVT_20260701_0080,thoothukudi,OBS_00218,8.74573,78.16586,2026-07-01,731,N20,18.01,h,VIIRS,D
EVT_20260702_0081,thoothukudi,OBS_00092,8.89,78.05335,2026-07-02,756,N21,3.92,n,VIIRS,D
EVT_20260702_0081,thoothukudi,OBS_00093,8.89064,78.05739,2026-07-02,756,N21,3.92,n,VIIRS,D
EVT_20260702_0081,thoothukudi,OBS_00094,8.89418,78.05682,2026-07-02,756,N21,5.48,n,VIIRS,D
EVT_20260703_0082,thoothukudi,OBS_00219,8.75918,78.18197,2026-07-03,833,N20,3.61,n,VIIRS,D
EVT_20260705_0083,thoothukudi,OBS_00220,8.51517,78.0616,2026-07-05,754,N20,2.17,l,VIIRS,D
EVT_20260705_0083,thoothukudi,OBS_00221,8.51759,78.0633,2026-07-05,754,N20,5.76,l,VIIRS,D
EVT_20260705_0083,thoothukudi,OBS_00095,8.51493,78.06141,2026-07-05,839,N21,5.87,n,VIIRS,D
EVT_20260705_0083,thoothukudi,OBS_00096,8.5155,78.06573,2026-07-05,839,N21,5.37,l,VIIRS,D
EVT_20260705_0084,thoothukudi,OBS_00222,8.54408,78.12749,2026-07-05,754,N20,6.02,n,VIIRS,D
