event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260615_0051,2026-06-15,816,816,2,1,N21,6.64,12.28,6.14,8.880375,78.11752,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,1.008,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260617_0052,2026-06-17,2014,2014,1,1,N21,0.83,0.83,0.83,8.62939,78.07955,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831348.0,,,industrial,,,3.554,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260618_0053,2026-06-18,1955,1955,1,1,N21,1.68,1.68,1.68,8.66783,77.99359,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260619_0054,2026-06-19,754,754,2,1,N20,5.15,8.24,4.12,8.882395,78.12329,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,1.62,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260620_0055,2026-06-20,733,822,3,2,"N20,N21",10.14,15.09,5.03,8.77606,77.959073,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,0.998,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260620_0056,2026-06-20,822,822,1,1,N21,3.43,3.43,3.43,8.60638,77.97795,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260620_0057,2026-06-20,822,822,1,1,N21,2.27,2.27,2.27,8.65484,77.92022,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1268305323.0,,,,,,2.362,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260624_0058,2026-06-24,845,845,2,1,N21,6.12,12.24,6.12,8.667145,78.080815,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,1.273,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260625_0059,2026-06-25,741,828,2,2,"N20,N21",6.25,12.2,6.1,8.57256,78.11075,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,2.995,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260625_0060,2026-06-25,741,828,3,2,"N20,N21",6.73,15.35,5.12,8.709607,77.95361,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
