event_id,region_id,latitude,longitude,acq_date,acq_time,observation_count,satellite_count,satellites,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
EVT_20260712_0106,thoothukudi,8.68076,78.06427,2026-07-12,809,1,1,N21,7.59,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,3.61
EVT_20260712_0107,thoothukudi,8.74524,78.12827,2026-07-12,809,1,1,N21,2.13,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1262795953.0,,,,,,1.043
EVT_20260713_0108,thoothukudi,8.84894,78.13416,2026-07-13,2025,1,1,N21,1.45,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.402
EVT_20260714_0109,thoothukudi,8.70241,78.05972,2026-07-14,2008,1,1,N21,1.21,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831350.0,,,industrial,,,3.729
EVT_20260716_0110,thoothukudi,8.84957,78.13499,2026-07-16,2023,1,1,N20,1.0,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.479
EVT_20260717_0111,thoothukudi,8.60856,78.09164,2026-07-17,816,1,1,N21,3.86,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,1.597
EVT_20260718_0112,thoothukudi,8.75063,78.10085,2026-07-18,756,1,1,N21,7.32,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,2.37
EVT_20260718_0113,thoothukudi,8.851477,78.019773,2026-07-18,756,3,2,"N20,N21",8.37,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1011035031.0,Orange Sironj,,industrial,substation,,1.27
EVT_20260719_0114,thoothukudi,8.742296,77.95846,2026-07-19,737,7,2,"N20,N21",12.1,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,2.794
EVT_20260720_0115,thoothukudi,8.84538,78.06369,2026-07-20,813,1,1,N20,2.03,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453102.0,,,industrial,,,0.88
EVT_20260721_0116,thoothukudi,8.66998,77.99445,2026-07-21,2032,1,1,N20,0.76,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260722_0117,thoothukudi,8.61174,78.1255,2026-07-22,2012,1,1,N20,1.71,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,3.881
EVT_20260722_0118,thoothukudi,8.84976,78.1354,2026-07-22,2012,1,1,N20,1.27,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.52
EVT_20260723_0119,thoothukudi,8.75921,78.18096,2026-07-23,803,1,1,N21,7.48,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.378
EVT_20260723_0120,thoothukudi,8.61686,77.959485,2026-07-23,858,2,1,N20,5.57,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260723_0121,thoothukudi,8.597505,78.13128,2026-07-23,1953,2,2,"N20,N21",3.6,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,4.029
