event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,worldcover_class_code,worldcover_class
EVT_20260727_0146,8.75845,78.18256,2026-07-27,828,5.79,1,,UNKNOWN
EVT_20260728_0147,8.89275,78.04395,2026-07-28,809,6.34,1,,UNKNOWN
EVT_20260729_0148,8.879297,78.085383,2026-07-29,750,8.12,3,,UNKNOWN
EVT_20260729_0149,8.88462,78.148475,2026-07-29,750,8.35,2,,UNKNOWN
EVT_20260729_0150,8.56658,78.06514,2026-07-29,845,3.35,1,,UNKNOWN
EVT_20260729_0151,8.75689,78.1835,2026-07-29,845,2.79,1,,UNKNOWN
EVT_20260729_0152,8.78999,78.09714,2026-07-29,845,2.05,1,,UNKNOWN
EVT_20260729_0153,8.759825,78.18125,2026-07-29,1940,4.37,2,,UNKNOWN
EVT_20260730_0154,8.758975,78.182965,2026-07-30,731,7.56,2,,UNKNOWN
EVT_20260730_0155,8.61699,77.95514,2026-07-30,826,2.74,1,,UNKNOWN
EVT_20260730_0156,8.759095,78.181335,2026-07-30,2008,2.3,2,,UNKNOWN
EVT_20260730_0157,8.86788,78.11977,2026-07-30,2008,1.36,1,,UNKNOWN
EVT_20260731_0158,8.75698,78.18044,2026-07-31,854,12.5,1,,UNKNOWN
EVT_20260801_0159,8.756787,78.183287,2026-08-01,750,8.63,3,,UNKNOWN
EVT_20260801_0160,8.825912,78.087152,2026-08-01,1930,8.97,6,,UNKNOWN
EVT_20260801_0161,8.66925,77.99277,2026-08-01,2025,0.82,1,,UNKNOWN
EVT_20260804_0162,8.77262,78.11182,2026-08-04,737,16.78,1,,UNKNOWN
EVT_20260807_0163,8.57914,77.95925,2026-08-07,735,2.48,1,,UNKNOWN
EVT_20260807_0164,8.58266,77.97887,2026-08-07,735,6.73,1,,UNKNOWN
EVT_20260807_0165,8.57461,78.00533,2026-08-07,822,6.19,1,,UNKNOWN
EVT_20260807_0166,8.759583,78.182353,2026-08-07,822,20.04,3,,UNKNOWN
EVT_20260809_0167,8.84041,78.0078,2026-08-09,744,5.35,1,,UNKNOWN
EVT_20260809_0168,8.84773,77.97353,2026-08-09,744,3.57,1,,UNKNOWN
EVT_20260809_0169,8.898385,78.04115,2026-08-09,744,9.0,2,,UNKNOWN
