facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
UNKNOWN,2026-03-22,1,4.7,4.7,4.7,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,INSUFFICIENT_HISTORY,,,,,4,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-26,1,1.82,1.82,1.82,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.0,0.0,0.0,0.0,5,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-27,1,7.53,7.53,7.53,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,NORMAL,29.41,65.35,0.0,0.0,6,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,peak FRP is above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-29,1,5.0,5.0,5.0,UNKNOWN,LOW,MEDIUM,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.0,0.0,0.0,0.0,7,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-01,1,9.98,9.98,9.98,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,NORMAL,39.82,88.49,0.0,0.0,8,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,peak FRP is well above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-09,1,0.73,0.73,0.73,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,NORMAL,0.0,0.0,0.0,0.0,9,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-11,2,14.08,11.135,22.27,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,industrial,UNUSUAL,79.04,97.87,100.0,0.0,10,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,peak FRP is well above the site's previous range; detection count is well above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-12,1,2.99,2.99,2.99,UNKNOWN,LOW,MEDIUM,BUILT_UP,BUILT_UP,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.0,0.0,0.0,0.0,11,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-13,1,3.21,3.21,3.21,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,NORMAL,0.17,0.0,0.0,0.83,12,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Thermal point is near mapped industrial feature; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-04-18,2,6.17,6.145,12.29,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,industrial,NORMAL,35.45,0.0,97.86,5.98,13,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,detection count is well above the site's previous range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
