osm_type,osm_id,name,industrial,landuse,man_made,power,geometry_wkt
way,139788110,,,,storage_tank,,"POLYGON ((69.854654 22.434072, 69.854666 22.43396, 69.854632 22.433853, 69.854555 22.433766, 69.854449 22.433713, 69.854329 22.433702, 69.854213 22.433733, 69.854119 22.433804, 69.854061 22.433902, 69.854049 22.434013, 69.854083 22.434121, 69.854159 22.434207, 69.854266 22.434261, 69.854386 22.434272, 69.854502 22.43424, 69.854596 22.43417, 69.854654 22.434072))"
way,139788111,,,,storage_tank,,"POLYGON ((69.854111 22.435899, 69.854123 22.435788, 69.854089 22.43568, 69.854013 22.435593, 69.853906 22.43554, 69.853786 22.435529, 69.85367 22.43556, 69.853576 22.435631, 69.853518 22.435729, 69.853506 22.43584, 69.85354 22.435948, 69.853617 22.436034, 69.853723 22.436088, 69.853843 22.436099, 69.853959 22.436068, 69.854053 22.435997, 69.854111 22.435899))"
way,139788112,,,,storage_tank,,"POLYGON ((69.860591 22.42839, 69.860456 22.428296, 69.860293 22.428257, 69.860126 22.42828, 69.859981 22.428359, 69.85988 22.428484, 69.859838 22.428635, 69.859862 22.428789, 69.859948 22.428924, 69.860083 22.429017, 69.860246 22.429056, 69.860413 22.429034, 69.860558 22.428954, 69.86066 22.428829, 69.860701 22.428678, 69.860677 22.428524, 69.860591 22.42839))"
way,139788113,,,,storage_tank,,"POLYGON ((69.857218 22.434491, 69.85723 22.43438, 69.857196 22.434272, 69.85712 22.434186, 69.857013 22.434132, 69.856893 22.434121, 69.856777 22.434153, 69.856683 22.434223, 69.856625 22.434322, 69.856613 22.434433, 69.856647 22.43454, 69.856724 22.434627, 69.85683 22.43468, 69.85695 22.434692, 69.857066 22.43466, 69.85716 22.434589, 69.857218 22.434491))"
way,139788114,,,,storage_tank,,"POLYGON ((69.864789 22.422552, 69.864665 22.422471, 69.864483 22.422434, 69.864308 22.422469, 69.864177 22.422552, 69.864079 22.422693, 69.864051 22.422835, 69.864097 22.423014, 69.864178 22.423117, 69.864321 22.423205, 69.864522 22.423232, 69.864657 22.4232, 69.864789 22.423118, 69.864874 22.423006, 69.864916 22.422835, 69.864891 22.422701, 69.864789 22.422552))"
way,139788115,,,,storage_tank,,"POLYGON ((69.864808 22.429473, 69.864684 22.429393, 69.864502 22.429356, 69.864327 22.42939, 69.864196 22.429474, 69.864098 22.429614, 69.86407 22.429756, 69.864116 22.429936, 69.864197 22.430038, 69.86434 22.430126, 69.864541 22.430154, 69.864676 22.430122, 69.864808 22.430039, 69.864893 22.429927, 69.864935 22.429756, 69.86491 22.429623, 69.864808 22.429473))"
way,139788116,,,,storage_tank,,"POLYGON ((69.85659 22.425269, 69.856602 22.425158, 69.856568 22.42505, 69.856492 22.424964, 69.856385 22.42491, 69.856265 22.424899, 69.856149 22.42493, 69.856055 22.425001, 69.855998 22.425099, 69.855985 22.425211, 69.856019 22.425318, 69.856096 22.425405, 69.856202 22.425458, 69.856322 22.425469, 69.856438 22.425438, 69.856532 22.425367, 69.85659 22.425269))"
way,139788117,,,,storage_tank,,"POLYGON ((69.858031 22.429779, 69.857896 22.429685, 69.857733 22.429646, 69.857566 22.429669, 69.857421 22.429748, 69.857319 22.429873, 69.857278 22.430024, 69.857302 22.430179, 69.857388 22.430313, 69.857523 22.430406, 69.857686 22.430445, 69.857853 22.430423, 69.857998 22.430343, 69.8581 22.430218, 69.858141 22.430067, 69.858117 22.429913, 69.858031 22.429779))"
way,139788119,,,,storage_tank,,"POLYGON ((69.86421 22.424662, 69.864075 22.424568, 69.863912 22.42453, 69.863745 22.424552, 69.8636 22.424631, 69.863498 22.424756, 69.863457 22.424907, 69.863481 22.425062, 69.863567 22.425196, 69.863702 22.425289, 69.863865 22.425328, 69.864032 22.425306, 69.864178 22.425226, 69.864279 22.425101, 69.86432 22.42495, 69.864296 22.424796, 69.86421 22.424662))"
way,139788120,,,,storage_tank,,"POLYGON ((69.868808 22.423265, 69.868684 22.423185, 69.868502 22.423148, 69.868327 22.423183, 69.868196 22.423266, 69.868098 22.423407, 69.86807 22.423549, 69.868116 22.423728, 69.868197 22.423831, 69.86834 22.423919, 69.868541 22.423946, 69.868676 22.423914, 69.868808 22.423831, 69.868893 22.42372, 69.868935 22.423549, 69.86891 22.423415, 69.868808 22.423265))"
way,139788121,,,,storage_tank,,"POLYGON ((69.856416 22.433723, 69.856428 22.433612, 69.856394 22.433505, 69.856318 22.433418, 69.856211 22.433365, 69.856091 22.433353, 69.855975 22.433385, 69.855881 22.433456, 69.855823 22.433554, 69.855811 22.433665, 69.855845 22.433772, 69.855921 22.433859, 69.856028 22.433912, 69.856148 22.433924, 69.856264 22.433892, 69.856358 22.433822, 69.856416 22.433723))"
way,139788122,,,,storage_tank,,"POLYGON ((69.86228 22.430892, 69.862145 22.430799, 69.861981 22.43076, 69.861814 22.430783, 69.861669 22.430862, 69.861568 22.430987, 69.861526 22.431138, 69.86155 22.431292, 69.861636 22.431427, 69.861771 22.43152, 69.861935 22.431559, 69.862102 22.431537, 69.862247 22.431457, 69.862348 22.431332, 69.86239 22.431181, 69.862366 22.431027, 69.86228 22.430892))"
way,139788123,,,,storage_tank,,"POLYGON ((69.851467 22.433074, 69.851471 22.432957, 69.851431 22.432857, 69.851367 22.432788, 69.851239 22.432728, 69.851102 22.432725, 69.851005 22.432761, 69.85091 22.432844, 69.850864 22.432938, 69.850857 22.433033, 69.8509 22.433154, 69.850963 22.433223, 69.851092 22.433284, 69.851192 22.433291, 69.851326 22.433251, 69.851404 22.433189, 69.851467 22.433074))"
