event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260620_0106,jamnagar,2026-06-20,2053,2053,22.34022,69.85422,4.58,4.58,4.58,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260621_0107,jamnagar,2026-06-21,0900,0900,22.4379,69.91242,2.53,2.53,2.53,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260622_0108,jamnagar,2026-06-22,2110,2110,22.33511,69.86858,3.85,3.85,3.85,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260623_0109,jamnagar,2026-06-23,2051,2051,22.33834,69.868,2.59,2.59,2.59,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260623_0110,jamnagar,2026-06-23,2051,2051,22.34016,69.85503,2.99,2.99,2.99,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260625_0111,jamnagar,2026-06-25,2059,2059,22.33689,69.86764,4.65,4.65,4.65,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260627_0112,jamnagar,2026-06-27,2116,2116,22.32294,69.88258,3.05,3.05,3.05,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260627_0113,jamnagar,2026-06-27,2116,2116,22.3391,69.85394,3.08,3.08,3.08,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260628_0114,jamnagar,2026-06-28,2057,2057,22.33986,69.85631,1.18,1.18,1.18,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260629_0115,jamnagar,2026-06-29,2125,2125,22.33484,69.86742,3.72,3.72,3.72,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260629_0116,jamnagar,2026-06-29,2125,2125,22.33735,69.85474,4.19,4.19,4.19,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260630_0117,jamnagar,2026-06-30,2108,2108,22.33558,69.86704,3.66,3.66,3.66,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260630_0118,jamnagar,2026-06-30,2108,2108,22.33749,69.85552,4.4,4.4,4.4,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260708_0119,jamnagar,2026-07-08,2110,2110,22.33493,69.86871,3.26,3.26,3.26,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260716_0120,jamnagar,2026-07-16,2201,2201,22.3349,69.86817,4.27,4.27,4.27,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260718_0121,jamnagar,2026-07-18,2029,2029,22.33016,69.86285,5.78,5.78,5.78,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260804_0122,jamnagar,2026-08-04,2106,2106,22.34027,69.85518,1.84,1.84,1.84,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260809_0123,jamnagar,2026-08-09,2112,2112,22.33785,69.86696,1.23,1.23,1.23,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260809_0124,jamnagar,2026-08-09,2112,2112,22.33982,69.85525,1.06,1.06,1.06,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260814_0125,jamnagar,2026-08-14,2023,2023,22.33806,69.85318,2.08,2.08,2.08,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260824_0126,jamnagar,2026-08-24,2036,2131,22.341883,69.867067,7.01,4.41,30.9,7,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260825_0127,jamnagar,2026-08-25,2112,2112,22.340585,69.85508,3.06,2.62,5.25,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260826_0128,jamnagar,2026-08-26,2053,2053,22.321085,69.88206,1.49,1.45,2.9,2,1,N20,MEDIUM,spatial_temporal_bfs
