event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260321_0032,2026-03-21,835,835,1,1,N21,1.08,1.08,1.08,22.44946,69.99204,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259059.0,,,industrial,,,2.082,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260321_0033,2026-03-21,835,835,1,1,N21,3.41,3.41,3.41,22.45982,69.97122,SHRUBLAND,NATURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259062.0,,,industrial,,,3.788,UNKNOWN,FOREST_NATURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates natural vegetation,No strong mapped industrial association; WorldCover=SHRUBLAND,Thermal observation occurs in natural vegetation context; natural/vegetation source is plausible
EVT_20260321_0034,2026-03-21,2101,2101,1,1,N21,2.13,2.13,2.13,22.33971,69.8543,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260322_0035,2026-03-22,813,813,1,1,N21,11.25,11.25,11.25,22.43778,69.99409,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259059.0,,,industrial,,,0.782,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=AGRICULTURAL,Thermal point is near mapped industrial feature; WorldCover=CROPLAND,Thermal observation spatially associated with industrial infrastructure
EVT_20260325_0036,2026-03-25,858,858,1,1,N21,13.79,13.79,13.79,22.38413,69.9849,CROPLAND,AGRICULTURAL,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260325_0037,2026-03-25,2125,2125,1,1,N21,1.34,1.34,1.34,22.42959,69.83186,BUILT_UP,BUILT_UP,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.05,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,MEDIUM,OSM industrial association + built-up WorldCover context,Thermal point is 0.050 km from mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260326_0038,2026-03-26,839,839,1,1,N21,15.67,15.67,15.67,22.35593,69.79166,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,197338462.0,Vadinar Refinery,oil,industrial,,,1.944,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260326_0039,2026-03-26,839,839,1,1,N21,15.39,15.39,15.39,22.43152,69.97115,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259062.0,,,industrial,,,2.393,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260326_0040,2026-03-26,2108,2108,1,1,N21,2.15,2.15,2.15,22.3382,69.85419,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260327_0041,2026-03-27,820,820,1,1,N21,28.55,28.55,28.55,22.37992,69.95703,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1144541890.0,Pipli,,,substation,,3.02,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260327_0042,2026-03-27,2049,2049,1,1,N21,3.15,3.15,3.15,22.3405,69.85612,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260327_0043,2026-03-27,2049,2049,1,1,N21,1.41,1.41,1.41,22.43019,69.83276,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
