event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,source_class,classification_confidence,industrial_evidence_score,evidence,osm_intersections,osm_nearby_features,nearest_osm_name,nearest_osm_distance_m,nearest_osm_strength
EVT_20260419_0063,22.20879,69.74622,2026-04-19,750,9.06,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260422_0064,22.33941,69.85428,2026-04-22,2101,3.21,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
EVT_20260501_0065,22.41263,69.93995,2026-05-01,905,6.97,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260501_0066,22.41554,69.92569,2026-05-01,2131,1.09,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260502_0067,22.25767,69.79171,2026-05-02,845,16.38,1,UNKNOWN,LOW,0,,0,1,Modpar,164.39198100688668,WEAK
EVT_20260503_0068,22.35215,69.8322,2026-05-03,826,8.14,1,INDUSTRIAL_ASSOCIATED,MEDIUM,3,strong_industrial_feature_nearby,0,2,Reliance Refinery,640.409878240169,STRONG
EVT_20260505_0069,22.32329,69.87823,2026-05-05,2019,4.16,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,24,Reliance Refinery,0.0,STRONG
EVT_20260506_0070,22.2946,69.934085,2026-05-06,909,6.21,2,UNKNOWN,LOW,0,,0,0,,,
EVT_20260506_0071,22.33965,69.86987,2026-05-06,2138,2.09,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,12,Reliance Refinery,0.0,STRONG
EVT_20260511_0072,22.32724,69.73833,2026-05-11,2144,1.26,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,2,16,Vadinar Refinery,0.0,STRONG
EVT_20260512_0073,22.32963,69.73843,2026-05-12,2125,9.71,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260513_0074,22.33224,69.73727,2026-05-13,837,9.88,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260513_0075,22.331325,69.735005,2026-05-13,2108,1.18,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,12,Vadinar Refinery,0.0,STRONG
EVT_20260514_0076,22.3218,69.88053,2026-05-14,2046,3.59,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,14,Reliance Refinery,0.0,STRONG
EVT_20260514_0077,22.33146,69.734295,2026-05-14,2046,3.17,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,12,Vadinar Refinery,0.0,STRONG
EVT_20260515_0078,22.33148,69.73385,2026-05-15,2029,8.27,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,9,Vadinar Refinery,0.0,STRONG
EVT_20260516_0079,22.330675,69.735048,2026-05-16,741,10.05,4,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,15,Vadinar Refinery,0.0,STRONG
EVT_20260516_0080,22.332375,69.738385,2026-05-16,2153,6.64,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260520_0081,22.33221,69.73236,2026-05-20,2036,5.27,2,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,3,Vadinar Refinery,21.651835442315466,STRONG
EVT_20260521_0082,22.33461,69.73081,2026-05-21,748,3.31,1,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,2,Vadinar Refinery,327.7662324688998,STRONG
EVT_20260521_0083,22.3301,69.73223,2026-05-21,2017,1.48,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,5,Vadinar Refinery,0.0,STRONG
EVT_20260522_0084,22.310075,69.720255,2026-05-22,2138,1.01,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,2,Vadinar Refinery,0.0,STRONG
EVT_20260522_0085,22.33207,69.73598,2026-05-22,2138,6.76,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,12,Vadinar Refinery,0.0,STRONG
EVT_20260523_0086,22.33337,69.73755,2026-05-23,852,16.01,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,10,Vadinar Refinery,0.0,STRONG
EVT_20260523_0087,22.3384,69.85451,2026-05-23,2121,1.97,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,40,Reliance Refinery,0.0,STRONG
EVT_20260524_0088,22.29005,69.74286,2026-05-24,833,4.55,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260524_0089,22.331155,69.735595,2026-05-24,833,11.06,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260527_0090,22.331953,69.73161,2026-05-27,2004,6.4,3,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,3,Vadinar Refinery,49.52467506071768,STRONG
EVT_20260527_0091,22.347947,69.751813,2026-05-27,2004,2.75,3,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,10,Vadinar Refinery,0.0,STRONG
EVT_20260529_0092,22.33627,69.86784,2026-05-29,2108,1.95,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260601_0093,22.329155,69.738215,2026-06-01,2104,1.72,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260603_0094,22.33898,69.85458,2026-06-03,2114,2.16,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
EVT_20260604_0095,22.32907,69.740595,2026-06-04,920,2.63,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260606_0096,22.34049,69.85591,2026-06-06,2110,3.51,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,33,Reliance Refinery,0.0,STRONG
EVT_20260608_0097,22.31896,69.884235,2026-06-08,2121,4.54,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,10,Reliance Refinery,0.0,STRONG
EVT_20260609_0098,22.32029,69.884985,2026-06-09,833,14.6,2,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,10,Reliance Refinery,31.661192043447866,STRONG
EVT_20260609_0099,22.322763,69.88063,2026-06-09,2014,16.63,21,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,15,Reliance Refinery,0.0,STRONG
EVT_20260612_0100,22.33482,69.8681,2026-06-12,2057,2.24,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,26,Reliance Refinery,0.0,STRONG
EVT_20260614_0101,22.34205,69.8616,2026-06-14,2019,3.86,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,2,26,Reliance Refinery,0.0,STRONG
EVT_20260615_0102,22.343095,69.86753,2026-06-15,2046,3.97,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,17,Reliance Refinery,0.0,STRONG
EVT_20260617_0103,22.320727,69.87794,2026-06-17,2010,3.47,3,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,20,Reliance Refinery,0.0,STRONG
EVT_20260617_0104,22.3363,69.86761,2026-06-17,2104,2.02,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260619_0105,22.33996,69.85391,2026-06-19,2114,3.09,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
EVT_20260620_0106,22.34022,69.85422,2026-06-20,2053,4.58,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,33,Reliance Refinery,0.0,STRONG
EVT_20260621_0107,22.4379,69.91242,2026-06-21,900,2.53,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260622_0108,22.33511,69.86858,2026-06-22,2110,3.85,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,22,Reliance Refinery,0.0,STRONG
EVT_20260623_0109,22.33834,69.868,2026-06-23,2051,2.59,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,18,Reliance Refinery,0.0,STRONG
EVT_20260623_0110,22.34016,69.85503,2026-06-23,2051,2.99,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,34,Reliance Refinery,0.0,STRONG
EVT_20260625_0111,22.33689,69.86764,2026-06-25,2059,4.65,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260627_0112,22.32294,69.88258,2026-06-27,2116,3.05,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,14,Reliance Refinery,0.0,STRONG
EVT_20260627_0113,22.3391,69.85394,2026-06-27,2116,3.08,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,36,Reliance Refinery,0.0,STRONG
EVT_20260628_0114,22.33986,69.85631,2026-06-28,2057,1.18,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
EVT_20260629_0115,22.33484,69.86742,2026-06-29,2125,3.72,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,32,Reliance Refinery,0.0,STRONG
EVT_20260629_0116,22.33735,69.85474,2026-06-29,2125,4.19,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,40,Reliance Refinery,0.0,STRONG
EVT_20260630_0117,22.33558,69.86704,2026-06-30,2108,3.66,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,28,Reliance Refinery,0.0,STRONG
EVT_20260630_0118,22.33749,69.85552,2026-06-30,2108,4.4,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,39,Reliance Refinery,0.0,STRONG
EVT_20260708_0119,22.33493,69.86871,2026-07-08,2110,3.26,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,22,Reliance Refinery,0.0,STRONG
EVT_20260716_0120,22.3349,69.86817,2026-07-16,2201,4.27,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,26,Reliance Refinery,0.0,STRONG
EVT_20260718_0121,22.33016,69.86285,2026-07-18,2029,5.78,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,38,Reliance Refinery,0.0,STRONG
EVT_20260804_0122,22.34027,69.85518,2026-08-04,2106,1.84,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,34,Reliance Refinery,0.0,STRONG
EVT_20260809_0123,22.33785,69.86696,2026-08-09,2112,1.23,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260809_0124,22.33982,69.85525,2026-08-09,2112,1.06,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
