osm_type,osm_id,name,industrial,landuse,power,man_made,operator,centroid_lat,centroid_lon,geometry_wkt
way,1268305319,,,,,,,8.66280924,77.94198809999999,POINT(77.94198809999999 8.66280924)
way,1268305320,,,,,,,8.661145393333333,77.94250035333333,POINT(77.94250035333333 8.661145393333333)
way,1268305321,,,,,,,8.659837526666667,77.94234094666668,POINT(77.94234094666668 8.659837526666667)
way,1268305322,,,,,,,8.65879758235294,77.94224568235295,POINT(77.94224568235295 8.65879758235294)
way,1268305314,,,,,,,8.66345132,77.94400292,POINT(77.94400292 8.66345132)
way,1268305315,,,,,,,8.661612889473684,77.94642781578948,POINT(77.94642781578948 8.661612889473684)
way,1268305316,,,,,,,8.66206304,77.94567344000001,POINT(77.94567344000001 8.66206304)
way,1268305317,,,,,,,8.662744134146342,77.94487391219512,POINT(77.94487391219512 8.662744134146342)
way,1268305318,,,,,,,8.662311644444445,77.94345754444446,POINT(77.94345754444446 8.662311644444445)
way,1227454933,,,,,,,8.763479839999999,77.9773189,POINT(77.9773189 8.763479839999999)
way,1227454932,,,,,,,8.767048441935483,77.98045364193548,POINT(77.98045364193548 8.767048441935483)
way,1262795952,,,,,,,8.733073976923077,78.12769523846154,POINT(78.12769523846154 8.733073976923077)
way,97686661,,,,,,,8.767043751282051,78.18405896666667,POINT(78.18405896666667 8.767043751282051)
way,1262795953,,,,,,,8.736402960000001,78.13156122000001,POINT(78.13156122000001 8.736402960000001)
way,662798205,,,,,,,8.7610393625,78.1681028125,POINT(78.1681028125 8.7610393625)
way,906827212,,,,,,,8.755530634782609,78.19227570869565,POINT(78.19227570869565 8.755530634782609)
way,97686734,,,,,,,8.798001816981133,78.1585596962264,POINT(78.1585596962264 8.798001816981133)
way,823674419,,,,,,,8.793472270588236,78.15923528235294,POINT(78.15923528235294 8.793472270588236)
way,823674422,,,,,,,8.800609878571429,78.1587989,POINT(78.1587989 8.800609878571429)
way,823674417,,,,,,,8.795841037931035,78.16136176551724,POINT(78.16136176551724 8.795841037931035)
way,823674418,,,,,,,8.792375450000002,78.1619833,POINT(78.1619833 8.792375450000002)
way,624646806,,,,,,,8.80323188,78.162288215,POINT(78.162288215 8.80323188)
way,624646808,,,,,,,8.8021313,78.159856175,POINT(78.159856175 8.8021313)
